dataset,series_id,spectral_entropy,cv,seasonal_autocorr,trend_strength,history_length
traffic,168,1.805175,0.778848,0.548167,0.011921,14035
traffic,169,1.713262,0.816477,0.865022,0.000315,14035
traffic,17,1.610453,0.796268,0.824507,0.000289,14035
traffic,170,1.804074,0.776127,0.569936,0.001758,14035
traffic,171,2.004722,0.898635,0.740772,0.012849,14035
traffic,172,1.814248,0.95183,0.842342,0.00077,14035
traffic,173,0.825361,0.682469,0.947547,0.002389,14035
traffic,174,1.422643,0.735759,0.817922,0.073605,14035
traffic,175,1.604367,0.806469,0.833565,0.000326,14035
traffic,176,0.930947,0.67921,0.92219,0.001366,14035
traffic,177,1.537556,0.739934,0.754482,0.00431,14035
traffic,178,1.549295,0.766858,0.837978,0.000234,14035
traffic,179,0.752217,0.510746,0.784307,0.015674,14035
traffic,18,1.065481,0.690584,0.831675,0.00349,14035
traffic,180,2.37374,1.131843,0.832635,0.000823,14035
traffic,181,0.764708,0.552586,0.916995,0.000338,14035
traffic,182,2.028781,0.852149,0.75393,0.000293,14035
traffic,183,0.820222,0.507809,0.781701,0.001657,14035
traffic,184,0.741341,0.595816,0.913153,0.001117,14035
traffic,185,1.956456,0.921681,0.845506,0.000483,14035
traffic,186,1.015158,0.665384,0.927418,0.000227,14035
traffic,187,2.599183,1.313755,0.906058,0.003742,14035
traffic,188,2.701938,1.066849,0.683344,6.1e-05,14035
traffic,189,2.365381,1.038825,0.797789,0.000281,14035
traffic,19,2.863414,1.2319,0.776667,0.002294,14035
traffic,190,0.946283,0.630158,0.907242,0.001404,14035
traffic,191,1.508203,0.739276,0.830609,0.0,14035
traffic,192,1.975654,0.979731,0.884983,0.000637,14035
traffic,193,2.2112,0.994495,0.729677,0.014232,14035
traffic,194,1.374664,0.800868,0.891937,0.008567,14035
traffic,195,2.13977,1.036319,0.866045,0.002073,14035
traffic,196,1.649215,0.752954,0.725536,0.023338,14035
traffic,197,1.799242,0.922011,0.757869,8.6e-05,14035
traffic,198,2.25039,0.991408,0.766154,0.023508,14035
traffic,199,0.859333,0.606772,0.908149,0.032633,14035
traffic,2,1.421068,0.777502,0.782425,0.000954,14035
traffic,20,1.041332,0.651915,0.939615,0.000786,14035
traffic,200,2.051656,1.096006,0.877381,4.1e-05,14035
traffic,201,1.754297,0.967909,0.897552,0.003258,14035
traffic,202,1.030341,0.685743,0.903048,0.00033,14035
traffic,203,1.679193,0.858665,0.825868,0.001183,14035
traffic,204,1.318474,0.718274,0.814843,0.004004,14035
traffic,205,1.087983,0.663054,0.84518,0.000375,14035
traffic,206,1.555163,0.797258,0.777513,0.002538,14035
traffic,207,0.994288,0.629364,0.824797,0.027266,14035
traffic,208,1.511047,0.761481,0.776344,0.006142,14035
traffic,209,1.461665,0.840595,0.873969,0.001195,14035
traffic,21,1.911384,0.90472,0.812195,0.003696,14035
traffic,210,1.262643,0.700662,0.871267,0.003843,14035
traffic,211,1.49951,0.805538,0.875926,0.000274,14035
traffic,212,1.250752,0.711368,0.894361,0.001611,14035
traffic,213,1.372744,0.806444,0.890144,0.000386,14035
traffic,214,0.767032,0.436267,0.58378,0.001467,14035
traffic,215,2.555413,0.943765,0.361895,0.006964,14035
traffic,216,1.809888,0.887504,0.858548,0.003009,14035
traffic,217,2.247781,1.024476,0.829455,0.015062,14035
traffic,218,1.011332,0.556602,0.78378,0.024885,14035
traffic,219,1.202082,0.655641,0.821388,0.011212,14035
traffic,22,1.482357,0.894338,0.880645,0.00325,14035
traffic,220,2.839933,1.234946,0.777887,0.008246,14035
traffic,221,1.558687,0.745409,0.811121,0.000224,14035
traffic,222,1.426751,0.740769,0.813824,0.00123,14035
traffic,223,1.082414,0.565356,0.722521,0.000575,14035
traffic,224,1.486124,0.690513,0.7463,0.002596,14035
traffic,225,2.916703,1.297458,0.830352,0.00433,14035
traffic,226,2.760993,1.015015,0.539191,0.001741,14035
traffic,227,2.235759,0.963946,0.675093,0.000469,14035
traffic,228,2.848222,1.224677,0.786982,0.000171,14035
traffic,229,1.567014,0.713597,0.662343,0.01019,14035
traffic,23,1.300709,0.734349,0.808637,0.003331,14035
traffic,230,2.106157,1.077633,0.834211,0.002384,14035
traffic,231,1.403428,0.737557,0.76317,0.005653,14035
traffic,232,1.162267,0.651441,0.868236,0.025169,14035
traffic,233,2.529857,1.067188,0.714028,0.034667,14035
traffic,234,0.92139,0.530034,0.789326,0.000177,14035
traffic,235,1.739337,0.821155,0.689234,2.2e-05,14035
traffic,236,1.903766,0.969898,0.898759,0.011781,14035
traffic,237,0.977158,0.549632,0.819369,0.003243,14035
traffic,238,1.876369,0.893175,0.802343,4.1e-05,14035
traffic,239,1.206203,0.759906,0.896275,0.00525,14035
traffic,24,2.512286,1.137856,0.757352,0.006515,14035
traffic,240,1.054806,0.648337,0.897154,0.000968,14035
traffic,241,2.557211,1.092936,0.799179,0.002039,14035
traffic,242,1.101142,0.716272,0.917826,0.005286,14035
traffic,243,1.369776,0.725238,0.843125,0.007081,14035
traffic,244,3.416501,1.236718,0.446613,0.004946,14035
traffic,245,1.950539,0.915107,0.829365,0.001697,14035
traffic,246,2.722562,1.264591,0.837519,0.000351,14035
traffic,247,1.18234,0.673087,0.812194,0.007566,14035
traffic,248,1.835698,0.766172,0.655253,0.093216,14035
traffic,249,1.534563,0.850648,0.864435,0.001763,14035
traffic,25,1.583733,0.767811,0.805165,0.004514,14035
traffic,250,1.446571,0.815662,0.866096,0.004643,14035
traffic,251,1.705223,0.779957,0.796404,0.000721,14035
traffic,252,1.473437,0.835657,0.864864,0.00159,14035
traffic,253,1.263863,0.672569,0.834899,0.000961,14035
traffic,254,1.083493,0.653534,0.8667,0.021077,14035
traffic,255,1.028553,0.646544,0.910942,0.001894,14035
traffic,256,1.026364,0.714372,0.884875,0.001231,14035
traffic,257,1.003203,0.608507,0.900504,0.003202,14035
traffic,258,1.144507,0.594769,0.639266,0.076443,14035
traffic,259,1.977008,0.948143,0.846148,0.001218,14035
traffic,26,1.425373,0.77468,0.893441,0.000302,14035
traffic,260,1.426136,0.759125,0.798989,0.00207,14035
traffic,261,1.175282,0.718938,0.92219,0.00225,14035
traffic,262,1.897385,0.964772,0.895724,0.000325,14035
traffic,263,2.658492,1.116636,0.809435,0.001893,14035
traffic,264,1.763818,0.832896,0.787523,0.003485,14035
traffic,265,1.015911,0.62651,0.900439,0.003268,14035
traffic,266,1.467413,0.777607,0.797862,0.008604,14035
traffic,267,0.714207,0.596554,0.993242,1.5e-05,14035
traffic,268,1.565205,0.785322,0.839397,6e-05,14035
traffic,269,3.024029,1.121876,0.454444,0.001033,14035
traffic,27,2.405089,1.08396,0.779958,0.016545,14035
traffic,270,1.420675,0.691171,0.763596,0.043565,14035
traffic,271,1.43164,0.743396,0.858425,0.001098,14035
traffic,272,1.007732,0.731818,0.94206,0.001497,14035
traffic,273,1.994284,0.929907,0.830247,0.006536,14035
traffic,274,1.937442,1.065799,0.898917,0.000297,14035
traffic,275,1.893216,0.91239,0.866439,0.001518,14035
traffic,276,1.791166,0.834035,0.802013,0.017142,14035
traffic,277,2.588685,1.317466,0.850239,0.004645,14035
traffic,278,1.855997,1.078293,0.931183,0.000381,14035
traffic,279,1.926652,0.898756,0.832661,0.0025,14035
traffic,28,0.766493,0.479043,0.722588,0.000603,14035
traffic,280,0.832982,0.650369,0.927572,0.011887,14035
traffic,281,1.06784,0.618983,0.84919,0.014817,14035
traffic,282,4.648153,1.623852,0.457723,0.000218,14035
traffic,283,1.401366,0.727739,0.812998,5.5e-05,14035
traffic,284,1.702315,0.804443,0.751002,0.000274,14035
traffic,285,1.253438,0.690121,0.795597,0.057793,14035
traffic,286,1.571823,0.736483,0.704473,0.067295,14035
traffic,287,1.595772,0.767406,0.74981,0.004011,14035
traffic,288,2.546183,1.061028,0.662715,0.00958,14035
traffic,289,1.174417,0.719427,0.880634,0.004396,14035
traffic,29,1.260936,0.667355,0.823928,0.008659,14035
traffic,290,1.001756,0.674511,0.908479,5.7e-05,14035
traffic,291,1.769537,0.960705,0.853845,0.00456,14035
traffic,292,1.992891,0.976787,0.871623,0.000414,14035
traffic,293,0.760543,0.537398,0.887248,0.002617,14035
traffic,294,2.595533,1.135625,0.830214,0.001769,14035
traffic,295,1.596376,0.720887,0.662091,0.026376,14035
traffic,296,1.397725,0.830735,0.8985,0.057639,14035
traffic,297,2.086512,0.929902,0.727078,2.6e-05,14035
traffic,298,2.308343,0.833283,0.327095,0.001093,14035
traffic,299,1.300012,0.652565,0.772795,0.005612,14035
traffic,3,1.198795,0.621078,0.745851,0.000845,14035
traffic,30,1.494159,0.874984,0.91029,0.002167,14035
traffic,300,1.117303,0.679011,0.901677,0.000145,14035
traffic,301,1.918608,0.903441,0.683054,0.01219,14035
traffic,302,0.724577,0.569057,0.923612,0.000202,14035
traffic,303,0.988349,0.572192,0.828209,0.005985,14035
traffic,304,2.228823,1.002942,0.788089,0.003089,14035
traffic,305,2.201032,0.835575,0.547654,0.001885,14035
traffic,306,2.290065,1.098508,0.84087,0.00129,14035
traffic,307,1.088022,0.665574,0.896932,0.013586,14035
traffic,308,2.325423,1.075504,0.835556,0.006008,14035
traffic,309,0.767186,0.577865,0.919288,0.007525,14035
traffic,31,1.720565,0.819858,0.763692,0.001247,14035
traffic,310,2.223338,1.01197,0.727408,0.000953,14035
traffic,311,1.385523,0.686804,0.802622,0.002491,14035
traffic,312,1.291028,0.741925,0.838072,4.4e-05,14035
traffic,313,0.98802,0.635895,0.851609,0.004731,14035
traffic,314,2.065037,0.934982,0.790418,2.7e-05,14035
traffic,315,2.925426,1.190415,0.748918,0.000108,14035
traffic,316,1.422029,0.700596,0.761904,0.006102,14035
traffic,317,1.303162,0.689837,0.71471,0.041902,14035
traffic,318,1.520865,0.754709,0.79727,0.015564,14035
traffic,319,1.800774,0.983968,0.893465,0.000324,14035
traffic,32,1.241796,0.777441,0.895211,0.000474,14035
traffic,320,1.583359,0.883915,0.872776,0.003405,14035
traffic,321,1.056412,0.612668,0.769203,0.0003,14035
traffic,322,2.398478,1.041782,0.841384,0.000175,14035
traffic,323,2.1264,0.908577,0.650513,0.004226,14035
traffic,324,1.765974,0.827446,0.772867,0.002957,14035
traffic,325,1.350014,0.794937,0.872151,0.005551,14035
traffic,326,1.098825,0.591885,0.786224,0.001479,14035
traffic,327,0.87867,0.598464,0.935229,0.020929,14035
traffic,328,2.162049,1.08403,0.842113,9.3e-05,14035
traffic,329,1.297053,0.700055,0.791465,0.00027,14035
traffic,33,1.430858,0.718494,0.765245,9e-05,14035
traffic,330,1.586129,0.75147,0.734477,0.006047,14035
traffic,331,2.910852,1.161834,0.683846,0.000357,14035
traffic,332,3.119043,1.380803,0.851467,0.003301,14035
traffic,333,1.256778,0.765499,0.882593,0.013575,14035
traffic,334,1.32904,0.750322,0.792279,0.003721,14035
traffic,335,1.64125,0.896854,0.859357,1.7e-05,14035
traffic,336,0.771518,0.504473,0.84765,0.070709,14035
traffic,337,1.209223,0.742534,0.842893,0.00113,14035
traffic,338,1.498907,0.741117,0.827653,0.001134,14035
traffic,339,1.737252,1.025408,0.914004,0.001848,14035
traffic,34,1.175701,0.658648,0.770485,0.004053,14035
traffic,340,0.918717,0.632045,0.903687,0.001239,14035
traffic,341,0.892985,0.555125,0.800945,0.002866,14035
traffic,342,1.731959,0.909674,0.864406,0.001129,14035
traffic,343,1.490837,0.845646,0.924503,0.001272,14035
traffic,344,1.599689,0.820062,0.894914,0.000257,14035
traffic,345,1.135548,0.723288,0.939329,0.000544,14035
traffic,346,1.493183,0.780693,0.819416,0.001419,14035
traffic,347,1.22001,0.712626,0.819649,0.000199,14035
traffic,348,1.044536,0.680464,0.897996,0.02327,14035
traffic,349,1.830297,0.930441,0.853523,0.001127,14035
traffic,35,0.725539,0.529298,0.877814,0.008642,14035
traffic,350,1.539531,0.81996,0.83294,1.3e-05,14035
traffic,351,2.396375,1.08972,0.769478,0.035205,14035
traffic,352,2.043678,0.92136,0.78097,0.016575,14035
traffic,353,3.268275,1.215671,0.648736,0.037192,14035
traffic,354,4.099825,1.530698,0.64219,0.001718,14035
traffic,355,1.520898,0.747288,0.819874,1e-06,14035
traffic,356,1.404174,0.75911,0.814939,0.044097,14035
traffic,357,1.187297,0.724306,0.856412,0.000331,14035
traffic,358,0.681165,0.570222,0.952835,0.002933,14035
traffic,359,1.339533,0.706614,0.812309,0.004095,14035
traffic,36,0.992089,0.679008,0.917354,4e-06,14035
traffic,360,0.892428,0.559213,0.834002,0.00356,14035
traffic,361,1.998169,0.928182,0.816381,0.001107,14035
traffic,362,1.265267,0.822746,0.923858,5e-06,14035
traffic,363,1.902041,0.893992,0.842745,0.00045,14035
traffic,364,1.790014,0.875094,0.839661,0.025715,14035
traffic,365,1.135689,0.736248,0.921719,0.062829,14035
traffic,366,1.456938,0.744962,0.807895,0.014032,14035
traffic,367,1.038388,0.559764,0.775375,0.008577,14035
traffic,368,1.816733,0.919585,0.747139,4e-06,14035
traffic,369,2.474984,1.158825,0.835757,0.00323,14035
traffic,37,1.026813,0.594172,0.764474,0.012669,14035
traffic,370,1.234538,0.612513,0.630759,0.001269,14035
traffic,371,0.789245,0.470142,0.667947,0.063,14035
traffic,372,1.279375,0.760294,0.898773,0.000531,14035
traffic,373,2.746822,1.372586,0.883786,0.000212,14035
traffic,374,1.793302,1.042877,0.914244,0.003663,14035
traffic,375,2.120697,1.057245,0.877141,9.1e-05,14035
traffic,376,1.454604,0.731828,0.815163,0.000964,14035
traffic,377,1.001493,0.593949,0.850943,0.034784,14035
traffic,378,1.585598,0.781856,0.850766,0.000345,14035
traffic,379,2.289108,0.959083,0.747527,0.004173,14035
traffic,38,0.640661,0.407403,0.638693,0.018041,14035
traffic,380,1.735328,0.771059,0.6399,0.0017,14035
traffic,381,1.050657,0.644818,0.872884,0.000195,14035
traffic,382,1.900826,0.814292,0.742714,0.001783,14035
traffic,383,1.257071,0.683811,0.791247,0.001639,14035
traffic,384,3.477189,1.624344,0.788233,0.003618,14035
traffic,385,1.227779,0.670347,0.774768,0.0097,14035
traffic,386,1.374674,0.738331,0.843689,0.00043,14035
traffic,387,1.901263,0.997402,0.891807,0.001417,14035
traffic,388,1.474381,0.778169,0.778236,0.051738,14035
traffic,389,3.405494,1.477252,0.77361,3.2e-05,14035
traffic,39,0.795615,0.607324,0.992144,4e-06,14035
traffic,390,1.561871,0.721835,0.750433,7.3e-05,14035
traffic,391,2.780024,1.100838,0.631937,0.0005,14035
traffic,392,1.112397,0.665708,0.803178,0.000875,14035
traffic,393,3.35158,1.502557,0.798191,9.3e-05,14035
traffic,394,2.457899,1.24273,0.874416,0.000851,14035
traffic,395,2.484574,1.337829,0.897758,0.000889,14035
traffic,396,0.931657,0.529519,0.765249,0.00563,14035
traffic,397,2.159543,1.001595,0.769619,0.00339,14035
traffic,398,1.836621,0.962756,0.876374,0.001289,14035
traffic,399,1.631219,0.794555,0.81035,0.00791,14035
traffic,4,2.671303,1.329956,0.884455,0.000118,14035
traffic,40,1.357329,0.738552,0.879541,1e-06,14035
traffic,400,2.206299,0.826903,0.500784,0.00026,14035
traffic,401,1.57936,0.757901,0.787565,0.006244,14035
traffic,402,2.641921,1.233037,0.831749,8.3e-05,14035
traffic,403,2.580512,1.197414,0.817246,0.0,14035
traffic,404,1.648632,0.892424,0.875026,0.002423,14035
traffic,405,1.290001,0.726416,0.803144,0.001954,14035
traffic,406,1.956931,0.939021,0.726729,0.006697,14035
traffic,407,2.055464,0.976678,0.790727,3.9e-05,14035
traffic,408,1.308902,0.722488,0.850435,0.000424,14035
traffic,409,1.222053,0.812607,0.942664,0.000734,14035
traffic,41,2.173449,1.181696,0.884336,0.001043,14035
traffic,410,1.445937,0.790824,0.898106,0.000939,14035
traffic,411,0.839061,0.621434,0.957128,0.000836,14035
traffic,412,1.880904,0.893019,0.804869,0.001626,14035
traffic,413,2.554401,1.205416,0.87513,0.000366,14035
traffic,414,0.673167,0.498238,0.887914,0.000303,14035
traffic,415,0.548975,0.436346,0.892192,0.01542,14035
traffic,416,1.420943,0.822425,0.890488,0.008318,14035
traffic,417,1.183055,0.729212,0.836012,0.000616,14035
traffic,418,2.245278,1.105024,0.877854,0.013462,14035
traffic,419,0.706977,0.527,0.917519,0.003928,14035
traffic,42,0.813383,0.610704,0.963041,0.000733,14035
traffic,420,1.642547,0.902882,0.881782,0.001254,14035
traffic,421,1.693718,0.835807,0.768787,0.000653,14035
traffic,422,1.336885,0.783341,0.901532,5.4e-05,14035
traffic,423,2.538621,1.06538,0.727175,0.005358,14035
traffic,424,2.546265,1.213637,0.847995,3.6e-05,14035
traffic,425,1.59907,0.789795,0.822708,0.025746,14035
traffic,426,1.638986,0.697466,0.540359,0.001394,14035
traffic,427,1.342472,0.767913,0.853139,0.003577,14035
traffic,428,1.324888,0.672522,0.822222,0.000507,14035
traffic,429,1.359736,0.764569,0.85329,0.004851,14035
traffic,43,1.946176,0.949811,0.838974,0.002219,14035
traffic,430,3.406579,1.660011,0.817392,0.002699,14035
traffic,431,1.69516,0.814762,0.826702,0.000209,14035
traffic,432,1.487102,0.796025,0.817512,0.001586,14035
traffic,433,1.673674,0.800148,0.800249,0.061483,14035
traffic,434,1.211275,0.690494,0.868014,0.004002,14035
traffic,435,1.580478,0.754013,0.779192,0.000156,14035
traffic,436,2.237275,1.063996,0.860731,0.001459,14035
traffic,437,1.698385,0.776237,0.725439,0.002475,14035
traffic,438,1.08505,0.654932,0.845006,0.000747,14035
traffic,439,1.338408,0.643751,0.678281,0.009319,14035
traffic,44,1.260623,0.701285,0.812534,0.028349,14035
traffic,440,0.773784,0.653853,0.947783,0.0,14035
traffic,441,0.969253,0.718962,0.947411,0.002203,14035
traffic,442,1.821252,0.962292,0.924175,0.000133,14035
traffic,443,1.891155,0.926407,0.858284,0.001831,14035
traffic,444,2.273913,1.265906,0.896884,0.000777,14035
traffic,445,1.873357,0.943919,0.869524,0.241771,14035
traffic,446,1.657123,0.838655,0.843556,0.070293,14035
traffic,447,2.446318,1.085286,0.778252,0.000719,14035
traffic,448,1.521652,0.804606,0.868153,0.135965,14035
traffic,449,2.06912,0.848865,0.577058,0.014383,14035
traffic,45,3.125082,1.181736,0.640789,2e-06,14035
traffic,450,0.729742,0.554153,0.904254,0.001325,14035
traffic,451,0.780794,0.500318,0.81277,0.001009,14035
traffic,452,1.388824,0.819801,0.887513,0.044042,14035
traffic,453,1.44329,0.743027,0.742188,0.000161,14035
traffic,454,1.597321,0.827515,0.866973,0.005702,14035
traffic,455,1.870339,1.044403,0.927816,0.000995,14035
traffic,456,1.956594,0.923983,0.827754,5.4e-05,14035
traffic,457,1.321777,0.719153,0.803212,0.023535,14035
traffic,458,1.534253,0.879564,0.894073,0.006916,14035
traffic,459,1.65709,0.903966,0.865228,0.001551,14035
traffic,46,1.945938,1.024086,0.916328,0.055248,14035
traffic,460,3.319899,1.323882,0.659919,0.000419,14035
traffic,461,1.824462,0.931271,0.891209,0.000432,14035
traffic,462,1.094923,0.638565,0.888804,0.001324,14035
traffic,463,1.592202,0.879777,0.888896,0.001849,14035
traffic,464,1.64789,0.802166,0.805443,0.000103,14035
traffic,465,1.410949,0.7427,0.85432,0.024153,14035
traffic,466,1.3813,0.713999,0.830121,0.004933,14035
traffic,467,1.814877,0.835224,0.747399,0.000195,14035
traffic,468,1.32649,0.793635,0.8751,0.000699,14035
traffic,469,2.011062,0.903088,0.745795,0.004841,14035
traffic,47,2.021344,0.925236,0.822172,0.000236,14035
traffic,470,2.829545,1.431224,0.864688,0.00206,14035
traffic,471,0.99867,0.611414,0.858363,0.002559,14035
traffic,472,0.926569,0.585483,0.883617,0.000567,14035
traffic,473,1.386167,0.809206,0.867035,0.000742,14035
traffic,474,1.591217,0.827431,0.872548,4.2e-05,14035
traffic,475,2.123959,0.946695,0.710514,0.001013,14035
traffic,476,1.223548,0.640097,0.708556,0.011033,14035
traffic,477,1.660265,0.732473,0.634793,0.051107,14035
traffic,478,0.894936,0.558203,0.867082,0.005375,14035
traffic,479,1.011881,0.664475,0.888949,0.001359,14035
traffic,48,1.149271,0.619308,0.785898,0.00401,14035
traffic,480,1.74256,0.771779,0.736126,0.000302,14035
traffic,481,1.416155,0.689428,0.781645,5.5e-05,14035
traffic,482,0.720458,0.568777,0.917864,0.003286,14035
traffic,483,1.548153,0.879644,0.908382,0.003573,14035
traffic,484,0.972023,0.651136,0.916827,0.000592,14035
traffic,485,1.582729,0.807017,0.789479,0.000449,14035
traffic,486,1.13975,0.633307,0.810813,0.018646,14035
traffic,487,0.87897,0.61785,0.937623,0.001373,14035
traffic,488,0.938624,0.654795,0.947784,0.007989,14035
traffic,489,1.919264,0.97265,0.860147,0.001005,14035
traffic,49,0.842212,0.59388,0.878931,0.001931,14035
traffic,490,1.878143,0.844112,0.700433,0.003369,14035
traffic,491,1.23609,0.700474,0.813069,0.000833,14035
traffic,492,0.503817,0.392868,0.811794,0.003549,14035
traffic,493,1.412834,0.744602,0.803131,0.002336,14035
traffic,494,2.146755,1.043782,0.853071,0.000542,14035
traffic,495,1.255515,0.669394,0.718738,0.018016,14035
traffic,496,1.130939,0.69905,0.921196,0.10111,14035
traffic,497,1.839489,0.98205,0.840545,0.005368,14035
traffic,498,0.953994,0.632685,0.913747,0.001027,14035
traffic,499,1.23485,0.745805,0.850545,7.5e-05,14035
traffic,5,2.263199,1.159963,0.888242,0.002139,14035
traffic,50,1.567434,0.698472,0.551422,0.000299,14035
traffic,500,1.667959,0.712154,0.681188,0.009231,14035
traffic,501,1.406073,0.751253,0.827688,0.019353,14035
traffic,502,0.697859,0.588278,0.945256,0.000508,14035
traffic,503,2.507171,0.972509,0.597761,3.4e-05,14035
traffic,504,0.728522,0.48744,0.813993,7.1e-05,14035
traffic,505,1.582776,0.694853,0.60824,0.016956,14035
traffic,506,1.088124,0.634593,0.802761,0.00109,14035
traffic,507,0.982056,0.599288,0.830318,0.020642,14035
traffic,508,2.212564,1.071918,0.789183,0.005135,14035
traffic,509,0.979938,0.592194,0.841569,0.000252,14035
traffic,51,1.671894,0.78558,0.667255,0.000973,14035
traffic,510,1.04784,0.627225,0.832718,0.003504,14035
traffic,511,1.002974,0.599992,0.839867,0.002905,14035
traffic,512,2.078195,0.86492,0.755544,0.032656,14035
traffic,513,2.20583,1.160966,0.894113,0.000796,14035
traffic,514,2.917655,1.259197,0.786945,7.6e-05,14035
traffic,515,0.712831,0.450805,0.683736,0.00611,14035
traffic,516,1.802118,0.820779,0.739357,0.015574,14035
traffic,517,1.611695,0.835784,0.753951,0.001332,14035
traffic,518,1.966219,0.899388,0.816952,0.000183,14035
traffic,519,1.848025,0.838897,0.801774,0.000623,14035
traffic,52,1.784015,0.880006,0.874562,0.00447,14035
traffic,520,0.82795,0.481497,0.758661,0.000763,14035
traffic,521,0.917362,0.584387,0.858965,0.005545,14035
traffic,522,0.693792,0.469775,0.8329,0.004123,14035
traffic,523,1.472043,0.843159,0.851716,0.001485,14035
traffic,524,6.261357,2.716836,0.256142,0.000689,14035
traffic,525,1.738962,1.039886,0.91879,0.000672,14035
traffic,526,1.586511,0.72323,0.729971,0.000541,14035
traffic,527,1.943898,0.886354,0.746691,7.2e-05,14035
